,TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE, Cost_TRIE_STREAMING_fix1_x, ExecutionTime_TRIE_STREAMING_fix1_x, Cost_TRIE_STREAMING_fix1_y, ExecutionTime_TRIE_STREAMING_fix1_y, Cost_TRIE_STREAMING_fix1, ExecutionTime_TRIE_STREAMING_fix1, Cost_TRIE_STREAMING_fix3_x, ExecutionTime_TRIE_STREAMING_fix3_x, Cost_TRIE_STREAMING_fix3_y, ExecutionTime_TRIE_STREAMING_fix3_y, Cost_TRIE_STREAMING_fix3, ExecutionTime_TRIE_STREAMING_fix3, Cost_TRIE_STREAMING_fix5_x, ExecutionTime_TRIE_STREAMING_fix5_x, Cost_TRIE_STREAMING_fix5_y, ExecutionTime_TRIE_STREAMING_fix5_y, Cost_TRIE_STREAMING_fix5, ExecutionTime_TRIE_STREAMING_fix5, Cost_TRIE_STREAMING_disc1_x, ExecutionTime_TRIE_STREAMING_disc1_x, Cost_TRIE_STREAMING_disc1_y, ExecutionTime_TRIE_STREAMING_disc1_y, Cost_TRIE_STREAMING_disc1, ExecutionTime_TRIE_STREAMING_disc1, Cost_TRIE_STREAMING_disc3_x, ExecutionTime_TRIE_STREAMING_disc3_x, Cost_TRIE_STREAMING_disc3_y, ExecutionTime_TRIE_STREAMING_disc3_y, Cost_TRIE_STREAMING_disc3, ExecutionTime_TRIE_STREAMING_disc3, Cost_TRIE_STREAMING_disc5_x, ExecutionTime_TRIE_STREAMING_disc5_x, Cost_TRIE_STREAMING_disc5_y, ExecutionTime_TRIE_STREAMING_disc5_y, Cost_TRIE_STREAMING_disc5, ExecutionTime_TRIE_STREAMING_disc5
29,29,0,22,0,5,0,9,0,4,0,5,0,4,0,7,0,5,0,4,0,6,0,8,0,7,0,4,0,4,0,4,0,4,0,4,0,4,0,3
30,30,21,18,71,9,71,73,71,7,69,11,69,11,69,10,69,19,69,20,69,27,71,23,71,19,71,8,46,15,46,21,46,15,44,58,44,36,44,39
31,31,19,18,67,6,67,22,67,6,52,31,52,19,52,22,52,142,52,126,52,142,52,139,52,112,52,52,41,27,41,32,41,27,48,85,48,57,48,58
32,32,19,25,67,8,67,15,67,5,52,22,52,21,52,21,52,133,52,125,52,120,52,133,52,198,52,52,41,29,41,34,41,27,48,84,48,60,48,62
33,33,0,4,0,6,0,12,0,7,0,5,0,4,0,4,0,7,0,4,0,6,0,12,0,14,0,5,0,7,0,6,0,5,0,5,0,4,0,5
34,34,0,8,0,7,0,7,0,8,0,6,0,5,0,4,0,5,0,5,0,5,0,10,0,11,0,5,0,6,0,5,0,5,0,6,0,4,0,5
35,35,0,9,0,8,0,7,0,6,0,5,0,5,0,4,0,6,0,4,0,4,0,10,0,9,0,4,0,4,0,4,0,4,0,5,0,5,0,4
36,36,22,24,73,9,73,15,73,7,69,12,69,11,69,10,69,19,69,14,69,29,73,22,73,23,73,8,46,21,46,38,46,16,46,55,46,46,46,43
37,37,0,13,0,7,0,6,0,6,0,5,0,4,0,4,0,6,0,3,0,8,0,8,0,9,0,4,0,5,0,6,0,4,0,5,0,6,0,4
38,38,33,29,80,9,80,12,80,11,43,18,43,13,43,12,47,21,47,22,47,32,47,21,47,20,47,8,43,16,43,17,43,15,47,45,47,44,47,36
39,39,0,16,0,3,0,3,0,3,0,5,0,2,0,3,0,4,0,4,0,4,0,8,0,7,0,3,0,3,0,3,0,3,0,4,0,5,0,3
40,40,0,32,0,7,0,8,0,9,0,7,0,6,0,6,0,10,0,6,0,8,0,20,0,15,0,8,0,7,0,6,0,7,0,9,0,9,0,9
41,41,0,21,0,4,0,4,0,5,0,6,0,5,0,4,0,6,0,4,0,5,0,10,0,8,0,3,0,4,0,4,0,3,0,5,0,5,0,4
42,42,19,7,31,1,31,1,31,1,27,2,27,2,27,2,23,3,23,2,23,4,27,5,27,5,27,3,21,5,21,7,21,7,31,14,31,16,31,12
43,43,0,23,0,4,0,4,0,7,0,5,0,3,0,4,0,4,0,4,0,6,0,9,0,7,0,3,0,4,0,3,0,4,0,4,0,6,0,5
44,44,0,19,0,4,0,4,0,5,0,4,0,4,0,3,0,4,0,3,0,6,0,9,0,6,0,4,0,3,0,4,0,3,0,5,0,5,0,3
45,45,0,22,0,4,0,4,0,5,0,5,0,4,0,3,0,6,0,4,0,9,0,7,0,9,0,3,0,4,0,3,0,3,0,5,0,5,0,4
46,46,21,17,71,6,71,5,71,6,69,11,69,10,69,9,69,18,69,19,69,22,71,15,71,18,71,8,46,15,46,16,46,15,44,55,44,43,44,38
47,47,19,17,67,6,67,6,67,6,52,26,52,17,52,20,52,110,52,99,52,165,52,114,52,106,52,57,41,25,41,30,41,28,48,83,48,64,48,59
48,48,19,16,67,5,67,6,67,8,52,26,52,25,52,19,52,116,52,104,52,143,52,108,52,133,52,74,41,27,41,27,41,27,48,84,48,62,48,57
49,49,0,4,0,4,0,5,0,5,0,5,0,4,0,4,0,4,0,4,0,5,0,10,0,11,0,9,0,4,0,4,0,4,0,6,0,4,0,4
50,50,0,6,0,5,0,4,0,5,0,6,0,4,0,4,0,5,0,4,0,6,0,9,0,9,0,7,0,4,0,5,0,4,0,6,0,4,0,4
51,51,0,7,0,4,0,5,0,5,0,7,0,5,0,4,0,5,0,4,0,5,0,7,0,12,0,8,0,4,0,6,0,4,0,5,0,4,0,5
52,52,22,21,73,6,73,5,73,6,69,15,69,15,69,11,69,20,69,14,69,19,73,16,73,18,73,26,46,17,46,17,46,16,46,52,46,36,46,39
53,53,0,9,0,4,0,4,0,5,0,4,0,4,0,4,0,4,0,4,0,5,0,9,0,10,0,8,0,3,0,4,0,4,0,6,0,4,0,4
54,54,33,23,80,10,80,9,80,10,43,17,43,11,43,12,47,20,47,21,47,19,47,17,47,19,47,22,43,21,43,15,43,15,47,47,47,34,47,33
55,55,0,10,0,3,0,3,0,3,0,5,0,3,0,3,0,3,0,5,0,3,0,6,0,8,0,5,0,3,0,2,0,2,0,4,0,3,0,4
56,56,0,22,0,8,0,6,0,8,0,10,0,6,0,6,0,8,0,10,0,8,0,15,0,14,0,15,0,7,0,8,0,6,0,9,0,6,0,6
57,57,0,16,0,4,0,4,0,5,0,6,0,3,0,4,0,5,0,4,0,4,0,8,0,8,0,4,0,3,0,4,0,5,0,8,0,4,0,4
58,58,19,7,31,1,31,1,31,2,27,1,27,3,27,2,23,2,23,2,23,3,27,6,27,7,27,5,21,6,21,6,21,6,31,20,31,10,31,10
59,59,0,18,0,4,0,3,0,4,0,7,0,4,0,3,0,5,0,6,0,5,0,6,0,6,0,7,0,4,0,4,0,3,0,4,0,4,0,3
60,60,0,18,0,4,0,4,0,4,0,5,0,3,0,3,0,4,0,5,0,4,0,6,0,9,0,4,0,3,0,4,0,3,0,4,0,4,0,4
61,61,0,21,0,3,0,3,0,4,0,8,0,4,0,4,0,5,0,4,0,5,0,7,0,7,0,7,0,3,0,3,0,4,0,4,0,4,0,3
62,62,21,16,71,8,71,6,71,6,69,12,69,9,69,9,69,16,69,21,69,16,71,19,71,23,71,13,46,16,46,16,46,15,44,51,44,37,44,38
63,63,19,21,67,5,67,5,67,6,52,24,52,18,52,22,52,120,52,110,52,113,52,110,52,121,52,101,41,25,41,29,41,28,48,83,48,54,48,57
64,64,19,16,67,6,67,5,67,6,52,26,52,18,52,20,52,109,52,105,52,107,52,129,52,109,52,97,41,27,41,28,41,32,48,81,48,63,48,64
65,65,0,3,0,4,0,4,0,6,0,5,0,4,0,3,0,4,0,4,0,4,0,10,0,7,0,4,0,3,0,4,0,5,0,5,0,6,0,4
66,66,0,6,0,4,0,4,0,6,0,9,0,4,0,5,0,5,0,5,0,4,0,8,0,9,0,6,0,4,0,5,0,4,0,5,0,5,0,4
67,67,0,6,0,5,0,10,0,5,0,6,0,4,0,4,0,5,0,4,0,5,0,10,0,8,0,5,0,5,0,4,0,4,0,6,0,5,0,5
68,68,22,17,73,8,73,6,73,6,69,13,69,10,69,10,69,15,69,16,69,16,73,21,73,15,73,12,46,15,46,21,46,16,46,54,46,35,46,44
69,69,0,10,0,3,0,5,0,5,0,5,0,4,0,4,0,4,0,4,0,4,0,9,0,7,0,6,0,4,0,4,0,4,0,5,0,5,0,4
70,70,33,22,80,10,80,7,80,10,43,15,43,12,43,13,47,17,47,15,47,18,47,23,47,15,47,11,43,14,43,16,43,29,47,46,47,32,47,37
71,71,0,11,0,5,0,3,0,3,0,3,0,3,0,11,0,3,0,4,0,3,0,5,0,5,0,6,0,3,0,4,0,5,0,3,0,2,0,2
72,72,0,24,0,8,0,7,0,8,0,8,0,6,0,6,0,7,0,10,0,7,0,13,0,11,0,10,0,7,0,8,0,7,0,10,0,6,0,7
73,73,0,16,0,4,0,4,0,5,0,4,0,4,0,4,0,4,0,5,0,4,0,6,0,7,0,6,0,5,0,5,0,5,0,4,0,4,0,4
74,74,19,8,31,2,31,1,31,1,27,3,27,2,27,2,23,2,23,2,23,3,27,4,27,4,27,3,21,6,21,6,21,5,31,15,31,9,31,11
75,75,0,17,0,3,0,4,0,4,0,4,0,4,0,3,0,4,0,4,0,3,0,6,0,7,0,5,0,4,0,4,0,4,0,5,0,4,0,2
76,76,0,19,0,5,0,3,0,4,0,4,0,3,0,5,0,4,0,3,0,4,0,12,0,7,0,4,0,3,0,3,0,4,0,6,0,3,0,4
77,77,0,25,0,4,0,5,0,5,0,4,0,3,0,4,0,3,0,4,0,4,0,10,0,7,0,4,0,3,0,4,0,4,0,7,0,3,0,3
78,78,21,16,71,6,71,5,71,6,69,13,69,9,69,12,69,15,69,16,69,15,71,20,71,15,71,12,46,15,46,17,46,15,44,53,44,36,44,38
79,79,19,17,67,5,67,4,67,5,52,23,52,18,52,22,52,100,52,137,52,107,52,130,52,97,52,76,41,25,41,29,41,27,48,85,48,57,48,57
80,80,19,17,67,6,67,6,67,6,52,22,52,18,52,22,52,96,52,102,52,105,52,155,52,92,52,96,41,26,41,29,41,33,48,81,48,61,48,56
81,81,0,2,0,4,0,4,0,5,0,5,0,5,0,4,0,4,0,5,0,5,0,11,0,8,0,5,0,4,0,5,0,5,0,5,0,5,0,5
82,82,0,5,0,5,0,5,0,5,0,4,0,4,0,6,0,4,0,3,0,4,0,11,0,8,0,6,0,4,0,5,0,4,0,6,0,4,0,3
83,83,0,6,0,4,0,4,0,6,0,6,0,4,0,5,0,4,0,4,0,8,0,11,0,7,0,6,0,4,0,4,0,4,0,5,0,4,0,4
84,84,22,17,73,8,73,5,73,6,69,11,69,10,69,10,69,15,69,15,69,21,73,26,73,16,73,14,46,16,46,19,46,17,46,53,46,34,46,41
85,85,0,9,0,4,0,4,0,5,0,5,0,4,0,4,0,5,0,4,0,4,0,11,0,8,0,6,0,4,0,4,0,4,0,5,0,4,0,4
86,86,33,22,80,8,80,9,80,10,43,16,43,12,43,19,47,16,47,16,47,19,47,15,47,14,47,11,43,14,43,17,43,15,47,51,47,32,47,35
87,87,0,13,0,3,0,1,0,4,0,5,0,3,0,3,0,3,0,3,0,4,0,8,0,5,0,4,0,3,0,3,0,3,0,4,0,3,0,2
88,88,0,26,0,6,0,8,0,7,0,8,0,6,0,9,0,6,0,7,0,7,0,17,0,12,0,9,0,6,0,6,0,6,0,8,0,6,0,6
89,89,0,20,0,5,0,4,0,5,0,5,0,4,0,5,0,5,0,3,0,5,0,11,0,5,0,5,0,4,0,4,0,4,0,5,0,5,0,4
90,90,19,7,31,1,31,1,31,1,27,2,27,2,27,3,23,2,23,3,23,5,27,4,27,3,27,3,21,6,21,6,21,6,31,16,31,9,31,11
91,91,0,17,0,3,0,4,0,4,0,4,0,3,0,4,0,3,0,3,0,5,0,8,0,4,0,5,0,3,0,4,0,3,0,4,0,4,0,3
92,92,0,19,0,4,0,7,0,5,0,5,0,4,0,4,0,4,0,4,0,3,0,6,0,5,0,4,0,3,0,4,0,4,0,5,0,3,0,3
93,93,0,21,0,3,0,3,0,4,0,4,0,3,0,4,0,3,0,4,0,4,0,7,0,6,0,4,0,4,0,3,0,3,0,4,0,3,0,4
94,94,21,17,71,6,71,5,71,6,69,11,69,9,69,11,69,15,69,14,69,16,71,18,71,10,71,12,46,14,46,16,46,16,44,52,44,36,44,38
95,95,19,16,67,6,67,5,67,13,52,28,52,18,52,20,52,95,52,94,52,110,52,134,52,75,52,96,41,26,41,28,41,27,48,77,48,53,48,58
96,96,0,1,0,4,0,2,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,7,0,4,0,4,0,4,0,3,0,3,0,3,0,3,0,3
97,97,0,3,0,4,0,4,0,5,0,4,0,4,0,4,0,4,0,5,0,5,0,9,0,7,0,5,0,3,0,5,0,4,0,6,0,4,0,3
98,98,0,4,0,5,0,6,0,5,0,5,0,5,0,4,0,4,0,5,0,5,0,9,0,7,0,8,0,4,0,4,0,4,0,4,0,4,0,4
99,99,0,7,0,5,0,4,0,5,0,5,0,3,0,5,0,4,0,4,0,4,0,12,0,12,0,5,0,4,0,5,0,4,0,5,0,4,0,10
