,TraceId, Cost_DISTANCE, Cost_TRIE_STREAMING_fix1_x, ExecutionTime_TRIE_STREAMING_fix1_x, Cost_TRIE_STREAMING_fix1_y, ExecutionTime_TRIE_STREAMING_fix1_y, Cost_TRIE_STREAMING_fix1, ExecutionTime_TRIE_STREAMING_fix1, Cost_TRIE_STREAMING_fix3_x, ExecutionTime_TRIE_STREAMING_fix3_x, Cost_TRIE_STREAMING_fix3_y, ExecutionTime_TRIE_STREAMING_fix3_y, Cost_TRIE_STREAMING_fix3, ExecutionTime_TRIE_STREAMING_fix3, Cost_TRIE_STREAMING_fix5_x, ExecutionTime_TRIE_STREAMING_fix5_x, Cost_TRIE_STREAMING_fix5_y, ExecutionTime_TRIE_STREAMING_fix5_y, Cost_TRIE_STREAMING_fix5, ExecutionTime_TRIE_STREAMING_fix5, Cost_TRIE_STREAMING_disc1_x, ExecutionTime_TRIE_STREAMING_disc1_x, Cost_TRIE_STREAMING_disc1_y, ExecutionTime_TRIE_STREAMING_disc1_y, Cost_TRIE_STREAMING_disc1, ExecutionTime_TRIE_STREAMING_disc1, Cost_TRIE_STREAMING_disc3_x, ExecutionTime_TRIE_STREAMING_disc3_x, Cost_TRIE_STREAMING_disc3_y, ExecutionTime_TRIE_STREAMING_disc3_y, Cost_TRIE_STREAMING_disc3, ExecutionTime_TRIE_STREAMING_disc3, Cost_TRIE_STREAMING_disc5_x, ExecutionTime_TRIE_STREAMING_disc5_x, Cost_TRIE_STREAMING_disc5_y, ExecutionTime_TRIE_STREAMING_disc5_y, Cost_TRIE_STREAMING_disc5, ExecutionTime_TRIE_STREAMING_disc5
42,42,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
43,43,9.0,31,52,31,8,31,10,19,35,19,31,19,33,19,32,19,33,19,34,31,12,31,19,31,9,19,29,19,34,19,30,19,30,19,31,19,34
44,44,0.0,0,8,0,5,0,5,0,6,0,5,0,6,0,5,0,6,0,5,0,8,0,13,0,5,0,5,0,6,0,4,0,5,0,5,0,5
45,45,0.0,0,12,0,9,0,8,0,8,0,8,0,8,0,8,0,7,0,8,0,12,0,17,0,7,0,7,0,7,0,31,0,7,0,7,0,8
46,46,0.0,0,15,0,10,0,9,0,11,0,9,0,10,0,10,0,10,0,9,0,16,0,20,0,10,0,8,0,10,0,9,0,9,0,9,0,10
47,47,0.0,0,14,0,8,0,7,0,10,0,7,0,8,0,8,0,7,0,8,0,13,0,16,0,9,0,8,0,8,0,7,0,7,0,7,0,7
48,48,0.0,0,11,0,9,0,9,0,10,0,9,0,10,0,10,0,10,0,56,0,11,0,23,0,9,0,8,0,10,0,10,0,8,0,9,0,11
49,49,0.0,0,11,0,8,0,7,0,9,0,8,0,8,0,7,0,8,0,8,0,12,0,12,0,8,0,7,0,8,0,7,0,8,0,7,0,7
50,50,1.0,1,0,1,0,1,50,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1
51,51,0.0,0,9,0,8,0,9,0,13,0,8,0,14,0,8,0,9,0,9,0,11,0,11,0,8,0,8,0,9,0,9,0,7,0,8,0,8
52,52,25.0,49,10,49,10,49,8,27,17,27,10,27,18,27,13,27,17,27,14,49,13,49,15,49,8,27,10,27,11,27,12,27,13,27,12,27,13
53,53,0.0,0,9,0,7,0,8,0,11,0,7,0,9,0,8,0,9,0,8,0,11,0,15,0,8,0,7,0,8,0,7,0,7,0,8,0,7
54,54,0.0,0,7,0,7,0,7,0,8,0,6,0,8,0,6,0,6,0,7,0,9,0,13,0,6,0,6,0,7,0,6,0,6,0,5,0,6
55,55,0.0,0,11,0,10,0,10,0,14,0,9,0,13,0,9,0,12,0,13,0,15,0,21,0,10,0,9,0,10,0,10,0,9,0,10,0,11
56,56,0.0,0,14,0,12,0,13,0,13,0,11,0,17,0,12,0,12,0,12,0,20,0,30,0,13,0,11,0,12,0,12,0,11,0,11,0,12
57,57,0.0,0,6,0,7,0,6,0,7,0,6,0,6,0,5,0,10,0,7,0,8,0,15,0,6,0,6,0,6,0,5,0,5,0,5,0,6
58,58,0.0,0,5,0,4,0,5,0,6,0,5,0,5,0,4,0,5,0,5,0,8,0,11,0,4,0,4,0,4,0,5,0,4,0,4,0,4
59,59,0.0,0,9,0,8,0,8,0,10,0,8,0,8,0,8,0,11,0,8,0,12,0,16,0,8,0,7,0,8,0,8,0,7,0,8,0,8
60,60,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
62,62,0.0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
63,63,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0
64,64,0.0,0,1,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,3,0,1,0,1,0,1,0,1,0,2,0,1,0,1
65,65,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66,66,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
67,67,10.0,10,1,10,1,10,2,10,3,10,2,10,2,10,2,10,6,10,4,10,3,10,5,10,2,10,2,10,2,10,2,10,2,10,2,10,2
68,68,0.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
69,69,1.0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0
70,70,1.0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
71,71,0.0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,2,0,6,0,1,0,1,0,0,0,0,0,1,0,1,0,0
72,72,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1
73,73,0.0,0,315,0,305,0,269,0,346,0,256,0,327,0,326,0,387,0,291,0,384,0,600,0,295,0,325,0,277,0,294,0,275,0,261,0,271
74,74,0.0,0,1,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,0,1,0,0
75,75,0.0,0,5,0,5,0,5,0,10,0,5,0,9,0,5,0,6,0,6,0,10,0,6,0,5,0,6,0,7,0,6,0,5,0,5,0,5
76,76,4.0,6,1,6,1,6,1,6,2,6,1,6,2,6,1,6,1,6,1,6,2,6,1,6,1,6,0,6,0,6,1,6,1,6,1,6,1
77,77,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
78,78,0.0,0,0,0,0,0,1,0,1,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
79,79,0.0,0,3,0,3,0,3,0,6,0,2,0,5,0,3,0,6,0,4,0,5,0,4,0,3,0,4,0,3,0,3,0,3,0,2,0,3
80,80,0.0,0,3,0,3,0,2,0,4,0,2,0,5,0,2,0,3,0,3,0,5,0,5,0,2,0,2,0,3,0,3,0,2,0,2,0,3
81,81,0.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
82,82,1.0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0
83,83,0.0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
84,84,,0,2,0,1,0,1,0,1,0,2,0,2,0,1,0,2,0,1,0,3,0,3,0,1,0,1,0,2,0,2,0,2,0,1,0,1
85,85,,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1
86,86,,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
87,87,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
88,88,,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
89,89,,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,90,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,91,,3,0,3,0,3,0,3,0,3,0,3,1,2,1,2,1,2,1,3,0,3,0,3,1,3,0,3,1,3,1,2,0,2,1,2,1
92,92,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
93,93,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,94,,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,95,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,1,0,0,0,1,0,1
96,96,,21,3,21,2,21,2,17,6,17,3,17,6,17,6,17,6,17,5,21,4,21,3,21,2,17,4,17,4,17,3,17,5,17,4,17,4
97,97,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
98,98,,0,1,0,1,0,1,0,2,0,2,0,2,0,1,0,1,0,1,0,2,0,1,0,1,0,0,0,2,0,0,0,1,0,1,0,1
99,99,,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
100,100,,8,1,8,1,8,1,7,2,7,2,7,3,7,2,7,2,7,2,8,2,8,0,8,1,7,2,7,2,7,2,7,1,7,1,7,1
