TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING,TraceId,Cost,Time
262,9,1,262,10,18
263,48,26,263,48,232
264,10,2,264,10,4
265,44,24,265,44,146
266,22,3,266,22,23
267,20,0,267,20,60
268,28,14,268,1,32
269,48,19,269,48,178
270,35,14,270,35,100
271,28,3,271,28,50
272,12,0,272,12,27
273,12,0,273,12,30
274,16,0,274,16,20
275,38,22,275,1,64
276,12,0,276,12,27
277,10,0,277,10,25
278,37,19,278,37,103
279,11,0,279,2,7
280,16,10,280,16,30
281,15,4,281,15,32
282,19,2,282,12,37
283,16,0,283,16,19
284,8,0,284,8,9
285,22,7,285,23,98
286,22,0,286,22,66
287,41,15,287,41,165
288,25,11,288,25,53
289,12,0,289,12,20
290,12,0,290,12,19
291,30,0,291,30,70
292,24,21,292,19,55
293,66,25,293,66,266
294,29,0,294,29,42
295,11,18,295,9,19
296,28,4,296,28,48
297,22,12,297,22,28
298,46,17,298,46,150
299,26,6,299,26,45
300,12,2,300,12,11
301,14,1,301,14,30
302,2,2,302,2,1
303,12,1,303,12,17
304,23,10,304,12,38
305,22,9,305,16,39
306,12,2,306,12,18
307,19,3,307,15,36
308,18,7,308,18,55
309,16,0,309,16,45
310,35,14,310,35,114
311,29,4,311,29,29
312,16,8,312,12,22
313,21,1,313,21,32
314,25,8,314,19,59
315,22,3,315,17,63
316,27,12,316,21,86
317,14,2,317,7,32
318,89,48,318,89,740
319,29,23,319,19,68
320,16,1,320,16,14
321,27,13,321,27,73
322,18,3,322,2,12
323,19,1,323,12,21
324,20,0,324,20,42
325,12,14,325,12,19
326,14,4,326,14,26
327,37,11,327,37,92
328,18,7,328,18,36
329,14,3,329,14,24
330,30,8,330,30,44
331,14,6,331,14,23
332,65,30,332,65,341
333,27,11,333,20,49
334,30,7,334,30,31
335,7,0,335,8,9
336,17,4,336,17,27
337,21,9,337,14,30
338,34,11,338,1,48
339,11,1,339,11,11
340,20,4,340,20,21
341,16,3,341,16,33
342,64,28,342,64,353
343,18,8,343,19,40
344,18,4,344,12,23
345,16,4,345,16,35
346,36,3,346,36,82
347,38,18,347,38,57
348,10,2,348,10,13
349,22,5,349,22,24
350,29,4,350,21,60
351,21,10,351,2,18
352,14,6,352,14,49
353,16,0,353,16,23
354,8,0,354,8,4
355,16,9,355,16,26
356,20,5,356,12,27
357,42,17,357,42,71
358,17,4,358,17,15
359,22,2,359,22,21
360,10,0,360,10,5
361,26,10,361,26,38
362,62,28,362,62,245
363,22,1,363,22,24
364,35,0,364,35,63
365,12,0,365,12,23
366,28,18,366,21,55
367,24,5,367,24,44
368,17,0,368,2,11
369,33,15,369,33,48
370,16,3,370,11,20
371,22,3,371,22,33
372,40,13,372,40,81
373,14,3,373,14,25
374,27,7,374,27,71
375,16,3,375,16,28
376,39,10,376,39,95
377,25,7,377,25,21
378,18,4,378,14,27
379,18,4,379,18,31
380,30,8,380,1,26
381,27,5,381,27,25
382,26,7,382,21,45
383,20,5,383,15,28
384,27,1,384,2,24
385,54,23,385,54,188
386,28,7,386,28,41
387,18,5,387,18,35
388,17,3,388,12,18
389,33,7,389,33,63
390,34,10,390,34,70
391,21,1,391,12,21
392,41,6,392,41,71
393,47,24,393,47,154
394,42,12,394,1,57
395,19,0,395,12,20
396,40,17,396,1,40
397,24,2,397,2,17
398,36,13,398,36,44
399,18,4,399,18,33
400,8,1,400,9,13
401,24,1,401,24,48
402,18,0,402,18,38
403,12,0,403,12,34
404,15,14,404,2,8
405,24,1,405,24,29
406,31,0,406,21,63
407,48,25,407,48,115
408,18,4,408,18,38
409,16,5,409,17,29
410,14,2,410,5,8
411,25,2,411,25,25
412,23,5,412,23,29
413,30,8,413,30,34
414,28,5,414,28,31
415,15,2,415,16,32
416,13,0,416,13,12
417,101,66,417,101,797
418,22,4,418,22,26
419,66,27,419,66,275
420,35,8,420,35,39
421,27,7,421,27,43
422,46,13,422,46,108
423,13,2,423,4,10
424,20,4,424,20,28
425,14,1,425,14,21
426,5,0,426,4,6
427,33,10,427,24,74
428,20,2,428,20,18
429,35,3,429,28,102
430,42,14,430,42,132
431,26,9,431,26,45
432,34,8,432,34,58
433,45,14,433,45,76
434,12,0,434,2,7
435,31,0,435,31,35
436,13,21,436,13,21
437,39,5,437,39,98
438,12,13,438,12,18
439,26,7,439,26,43
440,9,2,440,9,7
441,38,12,441,38,67
442,28,10,442,28,42
443,20,6,443,20,68
444,22,3,444,22,25
445,31,16,445,2,29
446,15,3,446,16,32
447,28,9,447,28,47
448,36,10,448,36,90
449,40,16,449,40,118
450,8,0,450,8,5
451,60,36,451,60,230
452,42,6,452,42,117
453,23,17,453,12,33
454,46,19,454,46,116
455,21,6,455,12,24
456,14,4,456,4,11
457,16,6,457,12,20
458,37,11,458,37,56
459,19,10,459,19,51
460,34,12,460,34,72
461,25,4,461,21,49
462,30,14,462,30,52
463,17,7,463,17,49
464,17,12,464,16,37
465,23,4,465,19,42
466,24,0,466,24,24
467,20,20,467,20,45
468,18,3,468,8,20
469,52,27,469,52,162
470,66,39,470,66,312
471,8,2,471,3,4
472,21,6,472,14,28
473,17,1,473,10,15
474,36,15,474,36,52
475,52,24,475,52,175
476,17,5,476,17,35
477,22,5,477,22,25
478,18,8,478,18,38
479,18,2,479,18,41
480,15,5,480,8,17
481,15,1,481,12,22
482,16,4,482,16,11
483,12,2,483,12,20
484,16,3,484,16,30
485,24,2,485,24,31
486,16,0,486,8,15
487,32,13,487,1,35
488,16,4,488,16,33
489,25,5,489,17,38
490,26,0,490,20,45
491,72,46,491,72,414
492,19,3,492,12,20
493,25,4,493,25,71
494,20,7,494,16,43
495,29,8,495,29,50
496,23,6,496,23,52
497,28,5,497,28,44
498,14,3,498,14,25
499,36,10,499,1,40
500,16,4,500,16,30
501,17,2,501,17,15
502,39,11,502,39,102
503,38,10,503,38,58
504,27,7,504,27,41
505,14,3,505,14,11
506,22,6,506,22,26
507,17,6,507,18,37
508,20,3,508,20,22
509,60,21,509,60,132
510,14,7,510,14,22
511,18,5,511,18,16
512,22,1,512,22,48
513,39,16,513,39,108
514,23,8,514,23,84
515,52,20,515,52,380
516,22,5,516,2,29
517,19,3,517,12,32
518,50,20,518,50,677
519,14,2,519,14,51
520,19,1,520,20,108
521,11,0,521,11,12
522,40,17,522,40,173
523,19,3,523,19,29
524,36,6,524,36,98
525,42,19,525,42,104
526,148,166,526,148,3118
527,67,50,527,67,395
528,39,17,528,39,221
529,51,33,529,51,192
530,30,8,530,30,51
531,22,4,531,22,25
532,20,7,532,20,36
533,39,12,533,39,95
534,12,4,534,12,22
535,25,5,535,26,77
536,35,0,536,35,75
537,36,19,537,36,81
538,18,0,538,14,38
539,33,23,539,21,79
540,20,5,540,2,16
541,23,7,541,16,36
542,20,7,542,20,24
543,5,1,543,3,3
544,22,9,544,12,42
545,12,5,545,12,19
546,12,1,546,12,21
547,15,3,547,15,43
548,13,0,548,13,11
549,10,7,549,10,10
550,14,5,550,14,45
551,33,4,551,33,144
552,12,0,552,12,35
553,55,35,553,55,206
554,20,5,554,20,25
555,13,2,555,13,13
556,26,8,556,26,31
557,22,2,557,14,35
558,12,0,558,12,37
559,24,11,559,24,44
560,44,26,560,44,75
561,29,9,561,2,36
562,14,3,562,10,16
563,13,3,563,13,12
564,37,12,564,37,110
565,21,2,565,17,35
566,38,17,566,38,83
567,26,7,567,26,41
568,32,17,568,32,57
569,22,11,569,22,61
570,22,5,570,22,37
571,32,2,571,32,73
572,24,15,572,24,32
573,20,7,573,21,46
574,34,1,574,34,78
575,20,13,575,14,24
576,29,8,576,29,32
577,16,4,577,10,18
578,31,2,578,32,105
579,104,131,579,104,919
580,29,18,580,29,85
581,56,30,581,56,175
582,14,5,582,14,26
583,24,9,583,24,58
584,22,7,584,22,28
585,24,8,585,24,37
586,56,31,586,56,235
587,21,10,587,17,44
588,18,0,588,18,61
589,95,102,589,95,862
590,3,1,590,3,1
591,66,32,591,66,208
592,33,22,592,33,70
593,47,20,593,47,130
594,18,0,594,14,31
595,20,14,595,20,17
596,64,34,596,64,311
597,48,19,597,48,176
598,39,9,598,39,75
599,21,0,599,14,31
600,52,31,600,52,194
