TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE
0,10,744
1,0,1
2,0,0
3,0,2
4,0,15
5,0,2
6,0,3
7,0,7
8,0,4
9,0,5
10,0,3
11,0,7
12,0,1466
13,0,6
14,0,16
15,0,6
16,0,2657
17,0,6
18,0,11
19,0,11
20,0,15
21,0,6128
22,0,8
23,1,11135
24,0,752
25,0,10
26,1,13663
27,0,11
28,0,25
29,1,28050
30,0,21
31,0,17
32,0,11
33,0,15829
34,0,34
35,1,20559
36,0,15
37,0,15
38,0,38
39,0,10
40,2,34350
41,0,21182
42,0,17
43,0,32
44,0,2673
45,0,21
46,0,31
47,0,11
48,0,20
49,0,52
50,0,19
51,0,32
52,0,23891
53,0,67
54,0,20
55,1,24930
56,0,25
57,0,36
58,0,23
59,0,36
60,0,76
61,0,26
62,0,145
63,0,35
64,0,192
65,1,9175
66,0,49
67,0,53
68,0,36
69,1,12917
70,0,39
71,0,62
72,0,86
73,0,43
74,0,63
75,0,63
76,0,8108
77,0,1131
78,0,54
79,0,5200
80,0,109
81,0,3939
82,0,12000
83,0,8068
84,0,47
85,0,115
86,0,147
87,0,888
88,0,173
89,0,13123
90,0,102
91,1,18745
92,0,239
93,0,33180
94,0,38
95,0,169
96,2,14790
97,0,146
98,0,62
99,0,125
100,0,94
