TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE
0,4,54
1,29,1996
2,42,3659
3,62,7274
4,6,189
5,12,492
6,17,845
7,15,692
8,17,847
9,27,1757
10,80,11486
11,38,3123
12,23,1360
13,79,11251
14,9,319
15,58,6514
16,51,5193
17,43,3843
18,22,1267
19,37,2975
20,27,1764
21,45,4160
22,29,1983
23,32,2422
24,12,494
25,10,376
26,114,21658
27,36,2806
28,31,2182
29,39,3331
30,23,1346
31,16,763
32,44,3942
33,51,5118
34,13,558
35,32,2336
36,27,1768
37,23,1360
38,15,696
39,33,2461
40,14,622
41,29,1976
42,25,1556
43,11,436
44,24,1458
45,31,2204
46,39,3237
47,64,7752
48,30,2097
49,31,2223
50,13,555
51,21,1177
52,15,694
53,118,23005
54,35,2690
55,51,5119
56,49,4795
57,26,1657
58,51,5181
59,92,14699
60,25,1562
61,13,552
62,27,1759
63,21,1184
64,28,1870
65,24,1455
66,27,1760
67,43,3825
68,35,2698
69,44,3999
70,23,1359
71,67,8372
72,63,7535
73,53,5555
74,45,4133
75,53,5471
76,130,27549
77,63,7553
78,33,2459
79,44,4012
80,29,1985
81,29,1981
82,38,3116
83,64,7713
84,44,4004
85,13,557
86,25,1554
87,15,698
88,25,1567
89,121,23970
90,34,2556
91,31,2169
92,39,3211
93,38,3093
94,39,3253
95,63,7544
96,45,4152
97,31,2210
98,32,2328
99,19,994
100,17,832
