TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE
0,10,2131
1,1,14520
2,2,10739
3,1,17132
4,14,44238
5,1,7104
6,1,9337
7,3,20588
8,1,11122
9,1,11747
10,1,7424
11,1,15761
12,1,17005
13,1,12788
14,3,24713
15,1,8753
16,1,14299
17,1,9030
18,1,14895
19,1,13855
20,5,19190
21,1,14350
22,1,9163
23,6,11321
24,1,7176
25,1,10651
26,4,13950
27,1,11223
28,4,20316
29,12,28642
30,8,15915
31,2,13403
32,2,8950
33,1,16516
34,1,22982
35,6,18852
36,1,8292
37,1,8551
38,6,19900
39,1,6189
40,21,31501
41,1,19476
42,1,8972
43,1,13831
44,1,11779
45,1,9716
46,6,12717
47,1,5499
48,1,9313
49,6,20584
50,1,7940
51,1,13620
52,4,22855
53,4,23490
54,1,7908
55,8,22813
56,1,9856
57,1,13212
58,1,7613
59,5,13115
60,10,24469
61,2,9289
62,12,43021
63,2,11019
64,24,53977
65,1,8424
66,3,14102
67,4,15398
68,2,10626
69,4,11846
70,2,11038
71,3,16670
72,2,23041
73,2,11666
74,3,16434
75,7,15985
76,1,14757
77,1,7124
78,1,13515
79,1,15005
80,7,24535
81,1,13762
82,1,12216
83,1,15345
84,1,10520
85,10,25022
86,11,30750
87,1,15605
88,14,35423
89,4,19254
90,6,20384
91,6,17002
92,20,44033
93,5,31715
94,2,7343
95,15,30387
96,7,12512
97,7,22530
98,1,10359
99,7,18889
100,1,14452
