TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE
0,3,0
1,0,1
2,4,5
3,0,1
4,12,8
5,3,3
6,8,4
7,2,3
8,5,5
9,8,4
10,3,3
11,2,2
12,5,3
13,2,0
14,3,3
15,4,3
16,2,2
17,5,7
18,5,3
19,3,3
20,6,10
21,2,1
22,3,3
23,3,3
24,7,7
25,6,6
26,5,3
27,2,4
28,3,1
29,3,3
30,2,2
31,4,4
32,5,3
33,4,6
34,3,3
35,2,1
36,11,6
37,1,1
38,8,5
39,2,3
40,5,3
41,3,2
42,8,7
43,4,6
44,1,2
45,4,3
46,3,3
47,7,3
48,23,21
49,5,6
50,3,2
51,4,4
52,3,4
53,3,3
54,3,4
55,16,15
56,16,8
57,0,1
58,5,4
59,5,4
60,7,4
61,6,4
62,2,2
63,28,34
64,9,7
65,4,9
66,3,3
67,3,3
68,7,3
69,3,4
70,5,4
71,2,4
72,10,6
73,0,6
74,2,5
75,2,4
76,2,2
77,2,1
78,5,2
79,2,2
80,3,3
81,10,7
