TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE
0,1,
1,1,
2,1,
3,3,
4,3,
5,1,
6,2,
7,1,
8,1,
9,1,
10,10,
11,2,
12,1,
13,11,
14,57,
15,154,
16,75,
17,101,
18,59,
19,39,
20,30,
21,78,
22,2,
23,19,
24,1,
25,13,
26,18,
27,5,
28,1,
29,20,
30,2,
31,11,
32,1,
33,1,
34,1,
35,1,
36,167,
37,1,
38,1,
39,3,
40,2,
41,3,
42,2,
43,3,
44,9,
45,15,
46,12,
47,10,
48,16,
49,8,
50,1,
51,36,
52,10,
53,12,
54,2,
55,22,
56,29,
57,18,
58,21,
59,8,
60,3,
61,1,
62,1,
63,5,
64,9,
65,1,
66,1,
67,3,
68,1,
69,1,
70,1,
71,8,
72,2,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
