TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE
0,6,102
1,45,7055
2,36,3913
3,50,7000
4,89,19900
5,26,2316
6,32,3191
7,56,8446
8,37,4129
9,39,4530
10,27,2432
11,48,6454
12,47,6209
13,38,4298
14,64,10696
15,30,2862
16,44,5522
17,32,3215
18,46,5993
19,43,5318
20,52,7493
21,44,5514
22,32,3228
23,35,3799
24,26,2284
25,35,3761
26,41,4917
27,36,3929
28,55,8206
29,69,12189
30,46,6001
31,42,5152
32,31,3049
33,49,6704
34,61,9871
35,56,8474
36,32,3228
37,32,3226
38,58,9039
39,25,2147
40,76,14531
41,55,8221
42,33,3397
43,46,6011
44,41,4929
45,36,3912
46,43,5380
47,23,2136
48,34,3858
49,60,9582
50,31,3064
51,46,5997
52,63,10764
53,66,11752
54,30,2889
55,65,11024
56,36,3947
57,45,5758
58,30,2886
59,43,5363
60,67,11597
61,34,3568
62,94,21050
63,39,4509
64,107,26486
65,32,3240
66,46,5999
67,50,7029
68,37,4118
69,41,4921
70,39,4502
71,53,7703
72,63,10435
73,41,4914
74,51,7232
75,48,6449
76,48,6446
77,28,2589
78,46,6006
79,50,6936
80,68,11877
81,46,5973
82,43,5318
83,49,6742
84,38,4327
85,68,11905
86,76,14483
87,50,6914
88,84,17287
89,58,9051
90,60,9569
91,53,7703
92,95,21254
93,80,15731
94,29,2719
95,75,14175
96,43,5284
97,65,11016
98,38,4306
99,56,8478
100,49,6626
