TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE
0,0,24
1,0,3
2,0,5
3,0,9
4,0,137
5,0,9
6,0,33
7,0,11
8,0,21
9,0,16
10,0,34
11,0,18
12,0,26
13,0,22
14,0,18
15,0,25
16,0,25
17,0,4
18,0,4
19,0,7
20,0,106
21,0,10
22,0,33
23,0,10
24,0,22
25,0,16
26,0,35
27,0,23
28,0,19
29,0,22
30,0,18
31,0,24
32,0,25
33,0,3
34,0,4
35,0,7
36,0,109
37,0,9
38,0,32
39,0,11
40,0,23
41,0,17
42,0,36
43,0,23
44,0,19
45,0,21
46,0,18
47,0,25
48,0,25
49,0,3
50,0,4
51,0,7
52,0,108
53,0,10
54,0,38
55,0,15
56,0,27
57,0,19
58,0,35
59,0,25
60,0,19
61,0,21
62,0,19
63,0,24
64,0,24
65,0,3
66,0,5
67,0,6
68,0,105
69,0,9
70,0,33
71,0,10
72,0,22
73,0,16
74,0,36
75,0,23
76,0,19
77,0,22
78,0,18
79,0,24
80,0,24
81,0,3
82,0,4
83,0,7
84,0,101
85,0,9
86,0,32
87,0,10
88,0,22
89,0,16
90,0,39
91,0,19
92,0,18
93,0,22
94,0,18
95,0,24
96,0,1
97,0,3
98,0,5
99,0,6
