TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE
0,18,182
1,41,213
2,30,204
3,30,206
4,19,156
5,32,195
6,31,184
7,33,170
8,54,303
9,22,186
10,10,56
11,28,170
12,24,168
13,26,176
14,14,137
15,18,133
16,18,158
17,41,218
18,30,199
19,30,202
20,19,130
21,32,195
22,31,184
23,33,156
24,54,287
25,22,185
26,10,52
27,28,165
28,24,171
29,26,175
30,14,132
31,18,131
32,18,128
33,41,215
34,30,198
35,30,201
36,19,129
37,32,191
38,31,186
39,33,148
40,54,291
41,22,182
42,10,53
43,28,169
44,24,169
45,26,174
46,14,131
47,18,128
48,18,127
49,41,212
50,30,199
51,30,203
52,19,129
53,32,196
54,31,184
55,33,152
56,54,296
57,22,184
58,10,52
59,28,170
60,24,173
61,26,177
62,14,133
63,18,130
64,18,131
65,41,214
66,30,200
67,30,207
68,19,129
69,32,195
70,31,185
71,33,154
72,54,293
73,22,184
74,10,53
75,28,169
76,24,170
77,26,174
78,14,133
79,18,127
80,18,132
81,41,213
82,30,198
83,30,202
84,19,134
85,32,195
86,31,186
87,33,152
88,54,288
89,22,182
90,10,52
91,28,173
92,24,168
93,26,173
94,14,126
95,18,128
96,0,1
97,41,210
98,30,195
99,30,207
