TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE
0,12,38
1,0,0
2,0,1
3,0,2
4,0,10
5,0,3
6,0,3
7,0,7
8,0,4
9,0,5
10,0,3
11,0,7
12,1,1452
13,0,7
14,0,16
15,0,5
16,1,1302
17,0,6
18,0,17
19,0,10
20,0,17
21,1,1281
22,0,8
23,0,11
24,1,631
25,0,10
26,5,1242
27,0,10
28,0,25
29,0,39
30,0,21
31,0,17
32,0,10
33,3,1481
34,0,34
35,0,31
36,0,14
37,0,14
38,0,40
39,0,10
40,0,64
41,3,1982
42,0,18
43,0,29
44,1,1178
45,0,24
46,0,28
47,0,11
48,0,21
49,0,52
50,0,18
51,0,33
52,4,2280
53,0,63
54,0,20
55,0,66
56,0,25
57,0,36
58,0,20
59,0,38
60,0,73
61,0,26
62,0,144
63,0,33
64,0,194
65,2,835
66,0,47
67,0,55
68,0,37
69,0,44
70,0,38
71,0,61
72,0,84
73,0,42
74,0,63
75,0,63
76,3,1467
77,2,698
78,0,56
79,1,1509
80,0,110
81,1,1343
82,4,1201
83,1,1491
84,0,45
85,0,116
86,0,145
87,0,893
88,0,178
89,8,1944
90,0,101
91,0,90
92,0,240
93,5,3289
94,0,39
95,0,170
96,0,73
97,0,129
98,0,61
99,0,114
100,0,85
