TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE
0,1,
1,13,
2,16,
3,19,
4,17,
5,9,
6,16,
7,14,
8,14,
9,14,
10,39,
11,16,
12,14,
13,36,
14,104,
15,251,
16,121,
17,181,
18,106,
19,82,
20,62,
21,132,
22,15,
23,43,
24,13,
25,37,
26,45,
27,19,
28,14,
29,64,
30,16,
31,33,
32,14,
33,9,
34,13,
35,13,
36,279,
37,13,
38,11,
39,19,
40,14,
41,14,
42,14,
43,62,
44,63,
45,77,
46,86,
47,78,
48,86,
49,78,
50,9,
51,80,
52,53,
53,78,
54,70,
55,86,
56,97,
57,68,
58,58,
59,78,
60,13,
61,13,
62,13,
63,20,
64,30,
65,11,
66,14,
67,23,
68,13,
69,10,
70,13,
71,24,
72,13,
73,465,
74,26,
75,65,
76,22,
77,16,
78,14,
79,49,
80,47,
81,19,
82,10,
83,19,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
