TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE
0,3,213
1,0,0
2,0,2
3,0,5
4,0,0
5,0,1
6,0,1
7,1,1388
8,0,1
9,0,2
10,0,14
11,0,5
12,0,3
13,0,20
14,0,1
15,0,16
16,0,13
17,0,12
18,0,5
19,0,2693
20,0,7
21,0,14
22,0,7
23,0,9
24,0,3
25,0,2
26,0,6597
27,0,403
28,0,12
29,6,2861
30,0,7
31,0,5
32,0,21
33,0,26
34,0,6
35,0,14
36,0,11
37,0,9
38,0,6
39,0,15
40,1,828
41,0,13
42,0,222
43,0,4
44,0,12
45,0,14
46,0,20
47,0,48
48,0,15
49,2,2111
50,0,6
51,0,10
52,0,7
53,0,158
54,1,2791
55,0,41
56,0,40
57,0,440
58,0,43
59,0,120
60,0,20
61,0,8
62,0,19
63,0,14
64,2,1899
65,0,18
66,0,1692
67,2,3389
68,2,2534
69,4,3532
70,0,182
71,0,85
72,0,73
73,0,61
74,0,48
75,6,4720
76,0,298
77,0,90
78,0,35
79,0,51
80,0,30
81,0,32
82,0,46
83,0,95
84,0,55
85,0,13
86,0,29
87,0,15
88,1,1747
89,0,314
90,0,43
91,0,40
92,0,692
93,0,57
94,0,56
95,8,7305
96,10,3614
97,0,43
98,0,43
99,1,1210
100,0,97
